Year,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,Region
2017,Okaloosa,FL,Passenger,1,0,1,185,186,0.54,South
2021,Stafford,VA,Passenger,2,1,3,94,97,3.09,South
2022,Camden,NJ,Passenger,0,1,1,13,14,7.14,Northeast
2019,Franklin,MA,Passenger,0,1,1,1,2,50.0,Northeast
2021,Harrison,MS,Passenger,2,0,2,46,48,4.17,South
2022,DuPage,IL,Passenger,0,1,1,37,38,2.63,Midwest
2019,Sumter,FL,Passenger,0,1,1,10,11,9.09,South
2023,San Bernardino,CA,Passenger,2,1,3,260,263,1.14,West
2017,Alameda,CA,Passenger,0,1,1,356,357,0.28,West
2022,Stafford,VA,Passenger,2,1,3,85,88,3.41,South
2018,Alameda,CA,Passenger,0,1,1,356,357,0.28,West
2021,Harris,TX,Passenger,1,1,2,213,215,0.93,South
2021,Essex,NJ,Passenger,2,0,2,11,13,15.38,Northeast
2020,Brevard,FL,Passenger,0,1,1,85,86,1.16,South
2022,Randolph,NC,Passenger,1,0,1,5,6,16.67,South
2018,Montgomery,MD,Passenger,1,0,1,297,298,0.34,Northeast
2022,St. Louis,MO,Passenger,2,0,2,55,57,3.51,Midwest
2021,Charles,MD,Passenger,1,1,2,71,73,2.74,Northeast
2023,St. Tammany,LA,Passenger,1,0,1,32,33,3.03,South
2019,Alexandria,VA,Passenger,1,0,1,153,154,0.65,South
2022,Harrison,MS,Passenger,1,0,1,42,43,2.33,South
2017,Harnett,NC,Passenger,1,0,1,267,268,0.37,South
2020,Ada,ID,Passenger,0,1,1,254,255,0.39,West
2022,Solano,CA,Passenger,2,0,2,159,161,1.24,West
2018,Manassas,VA,Passenger,0,1,1,9,10,10.0,South
2022,Arapahoe,CO,Passenger,0,1,1,77,78,1.28,West
2021,Gwinnett,GA,Passenger,1,0,1,59,60,1.67,South
2021,Lane,OR,Passenger,0,2,2,132,134,1.49,West
2019,Frederick,MD,Passenger,1,1,2,82,84,2.38,Northeast
2022,Currituck,NC,Passenger,1,0,1,17,18,5.56,South
2020,Vigo,IN,Passenger,1,0,1,5,6,16.67,Midwest
2022,Wilson,TX,Passenger,0,1,1,2,3,33.33,South
2022,Norfolk,VA,Passenger,3,3,6,311,317,1.89,South
2023,Deschutes,OR,Passenger,1,0,1,59,60,1.67,West
2023,Kent,DE,Passenger,1,0,1,48,49,2.04,Northeast
2017,Norfolk,VA,Passenger,1,1,2,310,312,0.64,South
2019,Bergen,NJ,Passenger,1,0,1,26,27,3.7,Northeast
2023,Lane,OR,Passenger,0,2,2,64,66,3.03,West
2021,Multnomah,OR,Passenger,2,7,9,632,641,1.4,West
2020,District of Columbia,DC,Passenger,1,1,2,209,211,0.95,
2020,Goochland,VA,Passenger,2,1,3,258,261,1.15,South
2021,Gwinnett,GA,Passenger,1,0,1,60,61,1.64,South
2018,Duval,FL,Passenger,1,2,3,373,376,0.8,South
2019,Fairfax,VA,Passenger,4,2,6,762,768,0.78,South
2021,Harford,MD,Passenger,0,1,1,50,51,1.96,Northeast
2017,Arlington,VA,Passenger,1,1,2,169,171,1.17,South
2021,DeKalb,GA,Passenger,1,0,1,68,69,1.45,South
2023,San Joaquin,CA,Passenger,1,1,2,82,84,2.38,West
2022,Hamilton,IN,Passenger,1,0,1,23,24,4.17,Midwest
2019,Tuolumne,CA,Passenger,0,1,1,12,13,7.69,West
2023,Elmore,ID,Passenger,1,0,1,12,13,7.69,West
2023,Carroll,MD,Passenger,0,1,1,19,20,5.0,Northeast
2022,Prince George's,MD,Passenger,3,1,4,119,123,3.25,Northeast
2018,Hardin,KY,Passenger,0,1,1,116,117,0.85,South
2021,Williamsburg,VA,Passenger,0,1,1,6,7,14.29,South
2021,Orange,CA,Passenger,4,3,7,435,442,1.58,West
2020,El Paso,CO,Passenger,2,2,4,745,749,0.53,West
2022,Allegheny,PA,Passenger,1,1,2,59,61,3.28,Northeast
2021,Montgomery,PA,Passenger,1,0,1,24,25,4.0,Northeast
2022,Loudoun,VA,Passenger,2,1,3,62,65,4.62,South
2023,Orange,NC,Passenger,0,1,1,2,3,33.33,South
2018,Randolph,NC,Passenger,1,0,1,5,6,16.67,South
2018,Collin,TX,Passenger,1,1,2,158,160,1.25,South
2022,Virginia Beach,VA,Passenger,3,0,3,541,544,0.55,South
2019,Carroll,NH,Passenger,0,1,1,3,4,25.0,Northeast
2017,Orange,FL,Passenger,1,1,2,145,147,1.36,South
2019,Mecklenburg,NC,Passenger,1,0,1,79,80,1.25,South
2023,Williamsburg,VA,Passenger,0,1,1,8,9,11.11,South
2023,Cumberland,PA,Passenger,1,0,1,36,37,2.7,Northeast
2022,New Haven,CT,Passenger,0,2,2,27,29,6.9,Northeast
2018,Orange,CA,Passenger,3,1,4,584,588,0.68,West
2022,Multnomah,OR,Passenger,0,4,4,537,541,0.74,West
2021,Virginia Beach,VA,Passenger,3,0,3,633,636,0.47,South
2023,Broward,FL,Passenger,1,0,1,64,65,1.54,South
2018,Queens,NY,Passenger,1,0,1,63,64,1.56,Northeast
2022,Rock Island,IL,Passenger,0,1,1,13,14,7.14,Midwest
2022,Owyhee,ID,Passenger,1,0,1,2,3,33.33,West
2021,DeKalb,IN,Passenger,1,0,1,0,1,100.0,Midwest
2019,Prince George's,MD,Passenger,1,1,2,183,185,1.08,Northeast
2022,Riverside,CA,Passenger,8,1,9,456,465,1.94,West
2017,Jackson,MO,Passenger,1,0,1,72,73,1.37,Midwest
2019,Wayne,MI,Passenger,0,1,1,65,66,1.52,Midwest
2023,St. Tammany,LA,Passenger,1,0,1,27,28,3.57,South
2023,Plaquemines,LA,Passenger,1,1,2,13,15,13.33,South
2020,Richmond,GA,Passenger,0,1,1,85,86,1.16,South
2018,Orange,FL,Passenger,2,1,3,172,175,1.71,South
2020,Deschutes,OR,Passenger,4,0,4,136,140,2.86,West
2022,Yavapai,AZ,Passenger,0,1,1,35,36,2.78,West
2020,Clackamas,OR,Passenger,2,0,2,199,201,1.0,West
2019,Middlesex,MA,Passenger,1,1,2,109,111,1.8,Northeast
2020,New Haven,CT,Passenger,0,2,2,36,38,5.26,Northeast
2018,Lane,OR,Passenger,0,1,1,204,205,0.49,West
2020,Juneau,AK,Passenger,0,2,2,29,31,6.45,West
2022,Eagle,CO,Passenger,1,0,1,7,8,12.5,West
2018,Nantucket,MA,Passenger,1,0,1,3,4,25.0,Northeast
2019,Franklin,MA,Passenger,0,1,1,1,2,50.0,Northeast
2020,Jefferson,NY,Passenger,0,1,1,215,216,0.46,Northeast
2017,Anne Arundel,MD,Passenger,0,1,1,511,512,0.2,Northeast
2017,Fulton,GA,Passenger,1,0,1,105,106,0.94,South
2018,Allegheny,PA,Passenger,1,0,1,77,78,1.28,Northeast
2017,Orange,FL,Passenger,1,1,2,153,155,1.29,South
2022,Fairbanks North Star,AK,Passenger,0,1,1,74,75,1.33,West
2020,Moore,NC,Passenger,0,1,1,165,166,0.6,South
2019,Lee,FL,Passenger,1,0,1,54,55,1.82,South
2019,Shelby,OH,Passenger,0,1,1,1,2,50.0,Midwest
2020,Lake,FL,Passenger,1,0,1,22,23,4.35,South
